region,item,unit,value
MidEastNorthAfrica,SGMILK,g/kg,33
NorthAmerica,SGMILK,g/kg,31
OtherPacificAsia,SGMILK,g/kg,33
PacificOECD,SGMILK,g/kg,34
PlannedAsiaChina,SGMILK,g/kg,38
SouthAsia,SGMILK,g/kg,36
SubSaharanAfrica,SGMILK,g/kg,34
WesternEurope,SGMILK,g/kg,31
Albania,SGMILK,g/kg,35
Algeria,SGMILK,g/kg,35
Angola,SGMILK,g/kg,31
Argentina,SGMILK,g/kg,29
Armenia,SGMILK,g/kg,33
Australia,SGMILK,g/kg,31
Austria,SGMILK,g/kg,31
Azerbaijan,SGMILK,g/kg,36
Bahamas,SGMILK,g/kg,35
Bahrain,SGMILK,g/kg,34
Bangladesh,SGMILK,g/kg,33
Belarus,SGMILK,g/kg,31
Belgium,SGMILK,g/kg,32
Belize,SGMILK,g/kg,34
Benin,SGMILK,g/kg,31
Bhutan,SGMILK,g/kg,37
Bolivia,SGMILK,g/kg,32
BosniaHerzg,SGMILK,g/kg,32
Botswana,SGMILK,g/kg,36
Brazil,SGMILK,g/kg,32
BruneiDarsm,SGMILK,g/kg,33
Bulgaria,SGMILK,g/kg,32
BurkinaFaso,SGMILK,g/kg,32
Burundi,SGMILK,g/kg,32
Cambodia,SGMILK,g/kg,37
Cameroon,SGMILK,g/kg,34
Canada,SGMILK,g/kg,26
CapeVerde,SGMILK,g/kg,34
CentAfrRep,SGMILK,g/kg,31
Chad,SGMILK,g/kg,32
Chile,SGMILK,g/kg,32
China,SGMILK,g/kg,38
Colombia,SGMILK,g/kg,36
Comoros,SGMILK,g/kg,31
CongoDemR,SGMILK,g/kg,34
CongoRep,SGMILK,g/kg,33
CostaRica,SGMILK,g/kg,34
CotedIvoire,SGMILK,g/kg,33
Croatia,SGMILK,g/kg,31
Cuba,SGMILK,g/kg,29
Cyprus,SGMILK,g/kg,35
CzechRep,SGMILK,g/kg,37
Denmark,SGMILK,g/kg,33
Djibouti,SGMILK,g/kg,34
DominicanRp,SGMILK,g/kg,33
Ecuador,SGMILK,g/kg,33
Egypt,SGMILK,g/kg,31
ElSalvador,SGMILK,g/kg,33
EqGuinea,SGMILK,g/kg,33
Eritrea,SGMILK,g/kg,35
Estonia,SGMILK,g/kg,34
Ethiopia,SGMILK,g/kg,33
FalklandIs,SGMILK,g/kg,33
FijiIslands,SGMILK,g/kg,30
Finland,SGMILK,g/kg,28
France,SGMILK,g/kg,34
FrGuiana,SGMILK,g/kg,33
FrPolynesia,SGMILK,g/kg,32
Gabon,SGMILK,g/kg,32
Gambia,SGMILK,g/kg,33
Georgia,SGMILK,g/kg,34
Germany,SGMILK,g/kg,30
Ghana,SGMILK,g/kg,34
Greece,SGMILK,g/kg,34
Greenland,SGMILK,g/kg,30
Guadeloupe,SGMILK,g/kg,34
Guatemala,SGMILK,g/kg,33
Guinea,SGMILK,g/kg,32
GuineaBissau,SGMILK,g/kg,34
Guyana,SGMILK,g/kg,35
Haiti,SGMILK,g/kg,34
Honduras,SGMILK,g/kg,33
Hungary,SGMILK,g/kg,33
Iceland,SGMILK,g/kg,36
India,SGMILK,g/kg,36
Indonesia,SGMILK,g/kg,35
Iran,SGMILK,g/kg,34
Iraq,SGMILK,g/kg,34
Ireland,SGMILK,g/kg,30
Israel,SGMILK,g/kg,32
Italy,SGMILK,g/kg,25
Jamaica,SGMILK,g/kg,34
Japan,SGMILK,g/kg,36
Jordan,SGMILK,g/kg,35
Kazakhstan,SGMILK,g/kg,33
Kenya,SGMILK,g/kg,31
KoreaDPRp,SGMILK,g/kg,31
KoreaRep,SGMILK,g/kg,34
Kuwait,SGMILK,g/kg,34
Kyrgyzstan,SGMILK,g/kg,34
Laos,SGMILK,g/kg,34
Latvia,SGMILK,g/kg,32
Lebanon,SGMILK,g/kg,32
Lesotho,SGMILK,g/kg,31
Liberia,SGMILK,g/kg,36
Libya,SGMILK,g/kg,37
Lithuania,SGMILK,g/kg,31
Luxembourg,SGMILK,g/kg,32
Macedonia,SGMILK,g/kg,31
Madagascar,SGMILK,g/kg,31
Malawi,SGMILK,g/kg,31
Malaysia,SGMILK,g/kg,28
Mali,SGMILK,g/kg,38
Malta,SGMILK,g/kg,34
Mauritania,SGMILK,g/kg,39
Mauritius,SGMILK,g/kg,34
Mexico,SGMILK,g/kg,32
MoldovaRep,SGMILK,g/kg,33
Mongolia,SGMILK,g/kg,32
Morocco,SGMILK,g/kg,31
Mozambique,SGMILK,g/kg,32
Myanmar,SGMILK,g/kg,43
Namibia,SGMILK,g/kg,28
Nepal,SGMILK,g/kg,36
Netherlands,SGMILK,g/kg,30
NewCaledonia,SGMILK,g/kg,34
NewZealand,SGMILK,g/kg,28
Nicaragua,SGMILK,g/kg,34
Niger,SGMILK,g/kg,32
Nigeria,SGMILK,g/kg,35
Norway,SGMILK,g/kg,31
Oman,SGMILK,g/kg,34
Pakistan,SGMILK,g/kg,37
Palestin,SGMILK,g/kg,34
Panama,SGMILK,g/kg,55
PapuaNGuin,SGMILK,g/kg,32
Paraguay,SGMILK,g/kg,33
Peru,SGMILK,g/kg,32
Philippines,SGMILK,g/kg,34
Poland,SGMILK,g/kg,28
Portugal,SGMILK,g/kg,31
PuertoRico,SGMILK,g/kg,32
Qatar,SGMILK,g/kg,34
Reunion,SGMILK,g/kg,32
Romania,SGMILK,g/kg,35
RussianFed,SGMILK,g/kg,35
Rwanda,SGMILK,g/kg,32
Samoa,SGMILK,g/kg,31
SaudiArabia,SGMILK,g/kg,34
Senegal,SGMILK,g/kg,35
Serbia-Monte,SGMILK,g/kg,33
SierraLeone,SGMILK,g/kg,31
Singapore,SGMILK,g/kg,34
Slovakia,SGMILK,g/kg,30
Slovenia,SGMILK,g/kg,32
SolomonIs,SGMILK,g/kg,33
Somalia,SGMILK,g/kg,36
SouthAfrica,SGMILK,g/kg,31
Spain,SGMILK,g/kg,32
SriLanka,SGMILK,g/kg,33
Sudan,SGMILK,g/kg,37
Suriname,SGMILK,g/kg,36
Swaziland,SGMILK,g/kg,33
Sweden,SGMILK,g/kg,29
Switzerland,SGMILK,g/kg,29
Syria,SGMILK,g/kg,36
Tajikistan,SGMILK,g/kg,34
Tanzania,SGMILK,g/kg,31
Thailand,SGMILK,g/kg,30
TimorLeste,SGMILK,g/kg,34
Togo,SGMILK,g/kg,31
TrinidadTob,SGMILK,g/kg,35
Tunisia,SGMILK,g/kg,32
Turkey,SGMILK,g/kg,34
Turkmenistan,SGMILK,g/kg,33
Uganda,SGMILK,g/kg,31
UK,SGMILK,g/kg,30
Ukraine,SGMILK,g/kg,32
UntdArabEm,SGMILK,g/kg,35
Uruguay,SGMILK,g/kg,34
USA,SGMILK,g/kg,32
Uzbekistan,SGMILK,g/kg,33
Vanuatu,SGMILK,g/kg,32
Venezuela,SGMILK,g/kg,27
VietNam,SGMILK,g/kg,35
WestSahara,SGMILK,g/kg,33
Yemen,SGMILK,g/kg,34
Zambia,SGMILK,g/kg,31
Zimbabwe,SGMILK,g/kg,30
