region,item,unit,value
Chad,SGMEAT,g/kg,146
Chad,PGMEAT,g/kg,122
Chad,PTMEAT,g/kg,125
Chad,BVMILK,g/kg,32
Chad,PTEGGS,g/kg,105
Chile,BVMEAT,g/kg,134
Chile,SGMEAT,g/kg,134
Chile,PGMEAT,g/kg,112
Chile,PTMEAT,g/kg,122
Chile,BVMILK,g/kg,32
Chile,PTEGGS,g/kg,99
China,BVMEAT,g/kg,136
China,SGMEAT,g/kg,138
China,PGMEAT,g/kg,111
China,PTMEAT,g/kg,118
China,BVMILK,g/kg,38
China,PTEGGS,g/kg,115
Colombia,BVMEAT,g/kg,139
Colombia,SGMEAT,g/kg,142
Colombia,PGMEAT,g/kg,113
Colombia,PTMEAT,g/kg,110
Colombia,BVMILK,g/kg,36
Colombia,PTEGGS,g/kg,99
Comoros,BVMEAT,g/kg,147
Comoros,SGMEAT,g/kg,140
Comoros,PGMEAT,g/kg,110
Comoros,PTMEAT,g/kg,123
Comoros,BVMILK,g/kg,31
Comoros,PTEGGS,g/kg,104
CongoDemR,BVMEAT,g/kg,155
CongoDemR,SGMEAT,g/kg,150
CongoDemR,PGMEAT,g/kg,117
CongoDemR,PTMEAT,g/kg,123
CongoDemR,BVMILK,g/kg,34
CongoDemR,PTEGGS,g/kg,106
CongoRep,BVMEAT,g/kg,158
CongoRep,SGMEAT,g/kg,139
CongoRep,PGMEAT,g/kg,103
CongoRep,PTMEAT,g/kg,125
CongoRep,BVMILK,g/kg,33
CongoRep,PTEGGS,g/kg,103
CostaRica,BVMEAT,g/kg,148
CostaRica,SGMEAT,g/kg,157
CostaRica,PGMEAT,g/kg,94
CostaRica,PTMEAT,g/kg,108
CostaRica,BVMILK,g/kg,34
CostaRica,PTEGGS,g/kg,99
CotedIvoire,BVMEAT,g/kg,147
CotedIvoire,SGMEAT,g/kg,143
CotedIvoire,PGMEAT,g/kg,115
CotedIvoire,PTMEAT,g/kg,123
CotedIvoire,BVMILK,g/kg,33
CotedIvoire,PTEGGS,g/kg,104
Croatia,BVMEAT,g/kg,147
Croatia,SGMEAT,g/kg,136
Croatia,PGMEAT,g/kg,87
Croatia,PTMEAT,g/kg,131
Croatia,BVMILK,g/kg,31
Croatia,PTEGGS,g/kg,107
Cuba,BVMEAT,g/kg,141
Cuba,SGMEAT,g/kg,153
Cuba,PGMEAT,g/kg,109
Cuba,PTMEAT,g/kg,117
Cuba,BVMILK,g/kg,29
Cuba,PTEGGS,g/kg,99
Cyprus,BVMEAT,g/kg,144
Cyprus,SGMEAT,g/kg,149
Cyprus,PGMEAT,g/kg,88
Cyprus,PTMEAT,g/kg,132
Cyprus,BVMILK,g/kg,35
Cyprus,PTEGGS,g/kg,107
CzechRep,BVMEAT,g/kg,129
CzechRep,SGMEAT,g/kg,131
CzechRep,PGMEAT,g/kg,94
CzechRep,PTMEAT,g/kg,125
CzechRep,BVMILK,g/kg,37
CzechRep,PTEGGS,g/kg,107
Denmark,BVMEAT,g/kg,129
Denmark,SGMEAT,g/kg,126
Denmark,PGMEAT,g/kg,93
Denmark,PTMEAT,g/kg,146
Denmark,BVMILK,g/kg,33
Denmark,PTEGGS,g/kg,119
Djibouti,BVMEAT,g/kg,147
Djibouti,SGMEAT,g/kg,138
Djibouti,PGMEAT,g/kg,80
Djibouti,PTMEAT,g/kg,122
Djibouti,BVMILK,g/kg,34
Djibouti,PTEGGS,g/kg,108
DominicanRp,BVMEAT,g/kg,139
DominicanRp,SGMEAT,g/kg,165
DominicanRp,PGMEAT,g/kg,95
DominicanRp,PTMEAT,g/kg,108
DominicanRp,BVMILK,g/kg,33
DominicanRp,PTEGGS,g/kg,99
Ecuador,BVMEAT,g/kg,139
Ecuador,SGMEAT,g/kg,141
Ecuador,PGMEAT,g/kg,98
